115,尾形了斎覚え書,NDC 913,1998/10/5,2014/9/17,879,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房,j.utiyama,野口英司
116,おぎん,NDC 913,1999/1/5,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
117,往生絵巻,NDC 913,1998/12/28,2014/9/17,879,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房,j.utiyama,もりみつじゅんじ
118,老いたる素戔嗚尊,NDC 913,1999/1/17,2014/9/17,879,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房,j.utiyama,かとうかおり
119,お時儀,NDC 913,1998/12/28,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
120,女,NDC 913,1998/12/28,2014/9/17,879,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
121,温泉だより,NDC 913,1999/1/17,2014/9/17,879,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房,j.utiyama,大野晋
122,或日の大石内蔵助,NDC 913,1997/11/17,2014/9/17,879,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房,野口英司,もりみつじゅんじ
123,大川の水,NDC 914,1999/1/11,2014/9/17,879,芥川 竜之介,羅生門・鼻・芋粥,角川文庫、角川書店,j.utiyama,かとうかおり
124,お律と子等と,NDC 913,1998/12/19,2014/9/17,879,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
125,おしの,NDC 913,1999/1/5,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
126,お富の貞操,NDC 913,1999/1/19,2014/9/17,879,芥川 竜之介,現代日本文學大系　43　芥川龍之介集,筑摩書房,j.utiyama,かとうかおり
127,羅生門,NDC 913,1997/10/29,2014/9/17,879,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房,野口英司、平山誠,もりみつじゅんじ
128,羅生門,NDC 913,1999/6/9,2014/9/17,879,芥川 竜之介,新選　名著復刻全集　近代文学館　芥川龍之介著　羅生門　阿蘭陀書房版,ほるぷ出版,j.utiyama,野口英司、もりみつじゅんじ
129,或恋愛小説,NDC 913,1999/1/8,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
130,六の宮の姫君,NDC 913,1998/12/2,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,林めぐみ
131,老年,NDC 913,1998/2/21,2014/9/17,879,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房,野口英司,野口英司
132,路上,NDC 913,1999/3/1,2014/9/17,879,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
133,るしへる,NDC 913,1998/12/7,2014/9/17,879,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
134,竜,NDC 913,1998/12/8,2014/9/17,879,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
135,道祖問答,NDC 913,1998/11/11,2014/9/17,879,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
136,西郷隆盛,NDC 913,1998/12/23,2014/9/17,879,芥川 竜之介,芥川龍之介全集2,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
137,寒さ,NDC 913,1999/1/5,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
138,三右衛門の罪,NDC 913,1999/1/10,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
139,猿,NDC 913,1998/11/26,2014/9/17,879,芥川 竜之介,芥川龍之介全集　第一巻,岩波書店,もりみつじゅんじ,高橋美奈子
140,猿蟹合戦,NDC 914,1998/12/28,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
141,西方の人,NDC 190 913,1998/4/27,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,野口英司
142,青年と死,NDC 912,1998/3/11,2014/9/17,879,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房,野口英司,
143,仙人,NDC 913,1998/12/6,2014/9/17,879,芥川 竜之介,芥川龍之介全集1,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
144,仙人,NDC 913,1999/1/5,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
145,廿年後之戦争,NDC 913,1999/1/17,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,かとうかおり
146,死後,NDC 913 914,1999/2/1,2014/9/17,879,芥川 竜之介,芥川龍之介全集6,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
147,蜃気楼,NDC 913,1999/1/24,2016/2/25,879,芥川 竜之介,昭和文学全集　第1巻,小学館,j.utiyama,かとうかおり
148,虱,NDC 913,1998/3/16,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,野口英司
149,白,NDC K913,1999/3/1,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,もりみつじゅんじ
150,葬儀記,NDC 914,1999/1/12,2014/9/17,879,芥川 竜之介,羅生門・鼻・芋粥,角川文庫、角川書店,j.utiyama,かとうかおり
151,漱石山房の秋,NDC 914,1999/1/26,2014/9/17,879,芥川 竜之介,芥川龍之介作品集　第三巻,昭和出版社,j.utiyama,かとうかおり
152,早春,NDC 913,1998/12/11,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,奥西久美
153,素戔嗚尊,NDC 913,1999/8/27,2014/9/17,879,芥川 竜之介,芥川龍之介全集3,ちくま文庫、筑摩書房,j.utiyama,湯地光弘
154,捨児,NDC 913,1998/12/19,2014/9/17,879,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
155,少年,NDC 913,1999/1/8,2014/9/17,879,芥川 竜之介,芥川龍之介全集5,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
156,将軍,NDC 913,1999/1/12,2014/9/17,879,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
157,素描三題,NDC 913,1999/2/15,2014/9/17,879,芥川 竜之介,芥川龍之介全集　第四巻,筑摩書房,j.utiyama,j.utiyama
158,侏儒の言葉,NDC 917,1999/1/13,2014/9/17,879,芥川 竜之介,芥川龍之介全集7,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
159,俊寛,NDC 913,1998/12/19,2014/9/17,879,芥川 竜之介,芥川龍之介全集4,ちくま文庫、筑摩書房,j.utiyama,かとうかおり
160,出帆,NDC 914,1999/1/12,2014/9/17,879,芥川 竜之介,羅生門・鼻・芋粥,角川文庫、角川書店,j.utiyama,かとうかおり
161,酒虫,NDC 913,1998/11/13,2014/9/17,879,芥川 竜之介,芥川龍之介全集　第一巻,岩波書店,もりみつじゅんじ,林めぐみ
162,秋山図,NDC 913,1999/5/15,2014/9/17,879,芥川 竜之介,日本文学全集28芥川龍之介集,集英社,j.utiyama,もりみつじゅんじ
163,煙草と悪魔,NDC 913,1998/9/11,2014/9/17,879,芥川 竜之介,現代日本文学大系　43　芥川龍之介集,筑摩書房,j.utiyama,吉田亜津美
